Tip carte;id;Poza;Nume;Cost;Productie;MKT;Cheltuiala;Tip Activ;Tip calcul;Efect special;Format
Standard;139;https://ezplay.org/cards/base-game/s139.webp;Echipă mixtă producție-vânzare;1;2;2;2;Resurse umane;aditiv;nu are;Portrait
Standard;140;https://ezplay.org/cards/base-game/s140.webp;Echipă mixtă vânzare-producție;2;1;2;1;Resurse umane;aditiv;nu are;Portrait
Standard;141;https://ezplay.org/cards/base-game/s141.webp;Operator proiectare-vânzare;2;2;1;1;Resurse umane;aditiv;nu are;Portrait
Standard;142;https://ezplay.org/cards/base-game/s142.webp;Manager vânzări;2;0;3;1;Resurse umane;aditiv;La achizitie poti renunta la o carte resurse umane din mana platind 1 ban;Portrait
Standard;143;https://ezplay.org/cards/base-game/s143.webp;Echipă proiectare-vânzare automatizată;2;2;3;2;Resurse umane;aditiv;nu are;Portrait
Standard;144;https://ezplay.org/cards/base-game/s144.webp;Echipă robo-proiectare marketing;2;1;4;2;Resurse umane;aditiv;La achizitie poti renunta la o carte active umane din mana fara a plati 1 ban;Portrait
Standard;145;https://ezplay.org/cards/base-game/s145.webp;Echipă vânzări performante;2;0;5;2;Resurse umane;aditiv;nu are;Portrait
Standard;146;https://ezplay.org/cards/base-game/s146.webp;Operatoare multidisciplinară;2;2;2;1;Resurse umane;alegere;nu are;Portrait
Standard;147;https://ezplay.org/cards/base-game/s147.webp;Operatoare logistică;3;1;1;1;Resurse umane;alegere;Achizitiile costa cu 1 mai putin, minim 1;Portrait
Standard;148;https://ezplay.org/cards/base-game/s148.webp;Echipă achiziții optimizate;2;0;0;1;Resurse umane;aditiv;Achizitiile costa cu 2 mai putin, minim 1;Portrait
Standard;149;https://ezplay.org/cards/base-game/s149.webp;Optimizare producție;3;-1;0;-1;Active necorporale;aditiv;nu are;Portrait
Standard;150;https://ezplay.org/cards/base-game/s150.webp;Control supraproducție;3;-1;0;-1;Active necorporale;aditiv;nu are;Portrait
Standard;151;https://ezplay.org/cards/base-game/s151.webp;Optimizare marketing;3;0;-1;-1;Active necorporale;aditiv;nu are;Portrait
Standard;152;https://ezplay.org/cards/base-game/s152.webp;Strategii vânzări;3;0;-1;-1;Active necorporale;aditiv;nu are;Portrait
Standard;153;https://ezplay.org/cards/base-game/s153.webp;Integrare producție-vânzări;6;0;-1;-2;Active necorporale;aditiv;nu are;Portrait
Standard;154;https://ezplay.org/cards/base-game/s154.webp;Server centru date;4;0;0;-1;Active necorporale;aditiv;nu are;Portrait
Standard;155;https://ezplay.org/cards/base-game/s155.webp;AI centralizat;4;0;0;-1;Active necorporale;aditiv;nu are;Portrait
Standard;156;https://ezplay.org/cards/base-game/s156.webp;Optimizare operațională;3;0;0;1;Active necorporale;aditiv;Toate cartile cu cheltuiala 2 au cheltuiala 1 ;Portrait
Standard;157;https://ezplay.org/cards/base-game/s157.webp;Automatizare operațională;5;0;0;0;Active necorporale;aditiv;Toate cartile cu cheltuiala 2 au cheltuiala 1 ;Portrait
Standard;158;https://ezplay.org/cards/base-game/s158.webp;Procese automatizate;4;0;0;0;Active necorporale;aditiv;Foloseste o carte din mana de doua ori;Portrait
Evenimente;101;https://ezplay.org/cards/events/e101.webp;Eficienta;n/a;0;0;-1;Eveniment;aditiv;nu are;Portrait
Evenimente;102;https://ezplay.org/cards/events/e102.webp;Criza supraproductie;n/a;1;-2;0;Eveniment;aditiv;nu are;Portrait
Evenimente;103;https://ezplay.org/cards/events/e103.webp;Criza economica;n/a;0;-1;0;Eveniment;aditiv;nu are;Portrait
Evenimente;104;https://ezplay.org/cards/events/e104.webp;Crestere economica;n/a;1;1;0;Eveniment;aditiv;nu are;Portrait
Evenimente;105;https://ezplay.org/cards/events/e105.webp;Criza materii prime;n/a;-2;1;0;Eveniment;aditiv;nu are;Portrait
Evenimente;106;https://ezplay.org/cards/events/e106.webp;Concedieri masiv;n/a;0;0;0;Eveniment;aditiv;Poti renunta la o carte resurse umane fara a plati 1 ban;Portrait
Evenimente;107;https://ezplay.org/cards/events/e107.webp;Vanzari active;n/a;0;0;0;Eveniment;aditiv;Poti renunta la o carte resurse corporale fara a plati 1 ban;Portrait
Evenimente;108;https://ezplay.org/cards/events/e108.webp;Boom economic productie;n/a;2;1;0;Eveniment;aditiv;nu are;Portrait
Evenimente;109;https://ezplay.org/cards/events/e109.webp;Boom economic vanzari;n/a;1;2;0;Eveniment;aditiv;nu are;Portrait
Evenimente;110;https://ezplay.org/cards/events/e110.webp;Bani ieftini in piata;n/a;0;0;0;Eveniment;aditiv;Orice achizitie costa cu  1 ban mai putin;Portrait
Antreprenor;101;https://ezplay.org/cards/base-game/a101.webp;Obsedat de munca (productie);n/a;3;1;1;Antreprenor;aditiv;nu are;Landscape
Antreprenor;102;https://ezplay.org/cards/base-game/a102.webp;Obsedat de munca (peste tot);n/a;2;2;1;Antreprenor;aditiv;nu are;Landscape
Antreprenor;103;https://ezplay.org/cards/base-game/a103.webp;Obsedata de munca (mkt si vanzari);n/a;1;3;1;Antreprenor;aditiv;nu are;Landscape
Antreprenor;104;https://ezplay.org/cards/base-game/a104.webp;Dedicata si focalizata (mkt/vanzari);n/a;0;3;1;Antreprenor;aditiv;nu are;Landscape
Antreprenor;105;https://ezplay.org/cards/base-game/a105.webp;Dedicat si focalizat (productie);n/a;3;0;1;Antreprenor;aditiv;nu are;Landscape
Antreprenor;106;https://ezplay.org/cards/base-game/a106.webp;Dedicat (productie);n/a;2;0;1;Antreprenor;aditiv;nu are;Landscape
Antreprenor;107;https://ezplay.org/cards/base-game/a107.webp;Obsedata de munca (tot ce misca);n/a;2;2;1;Antreprenor;aditiv;nu are;Landscape
Antreprenor;108;https://ezplay.org/cards/base-game/a108.webp;Dedicata si adaptabila;n/a;1;2;1;Antreprenor;aditiv;nu are;Landscape
Antreprenor;109;https://ezplay.org/cards/base-game/a109.webp;Dedicat si adaptabil;n/a;2;1;1;Antreprenor;aditiv;nu are;Landscape
Antreprenor;110;https://ezplay.org/cards/base-game/a110.webp;Big Boss;n/a;0;0;1;Antreprenor;aditiv;Poti renunta la o carte resurse umane fara a plati 1 ban;Landscape
